"incident_date","State","city_county","Address","no_killed","no_injured","moreInfo","formattedDate","casualties","GoogleAdd","dayofweek","lat","lng","accuracy"
"January 1, 2014","Virginia","Norfolk","Rockingham Street and Berkley Avenue Extended","2","2","<a href=""http://www.gunviolencearchive.org/incident/92194"" target=""_blank"">More Information</a>",2014-01-01,4,"Virginia, Norfolk, Rockingham Street and Berkley Avenue Extended","Wed",36.8307885,-76.2789351,"intersection"
"January 3, 2014","New York","Queens","Farmers Boulevard and 133rd Avenue","1","3","<a href=""http://www.gunviolencearchive.org/incident/92704"" target=""_blank"">More Information</a>",2014-01-03,4,"New York, Queens, Farmers Boulevard and 133rd Avenue","Fri",40.6775003,-73.7628984,"intersection"
"January 12, 2014","Louisiana","Tallulah","3600 block of Highway 80 W","0","6","<a href=""http://www.gunviolencearchive.org/incident/95500"" target=""_blank"">More Information</a>",2014-01-12,6,"Louisiana, Tallulah, 3600 block of Highway 80 W","Sun",32.3948879,-91.2002329,"establishment"
"January 12, 2014","Alabama","Huntsville","University Drive","0","5","<a href=""http://www.gunviolencearchive.org/incident/95550"" target=""_blank"">More Information</a>",2014-01-12,5,"Alabama, Huntsville, University Drive","Sun",34.7365623,-86.6503899,"route"
"January 12, 2014","Illinois","Elgin","300 block of North Street","0","5","<a href=""http://www.gunviolencearchive.org/incident/95579"" target=""_blank"">More Information</a>",2014-01-12,5,"Illinois, Elgin, 300 block of North Street","Sun",42.0401123,-88.2802179,"street_address"
"January 13, 2014","Michigan","Detroit","800 block of Calvert St","0","4","<a href=""http://www.gunviolencearchive.org/incident/96185"" target=""_blank"">More Information</a>",2014-01-13,4,"Michigan, Detroit, 800 block of Calvert St","Mon",42.3871989,-83.0922139,"street_address"
"January 14, 2014","California","Los Angeles","West 86th Street","0","4","<a href=""http://www.gunviolencearchive.org/incident/96792"" target=""_blank"">More Information</a>",2014-01-14,4,"California, Los Angeles, West 86th Street","Tues",33.9592417,-118.3987642,"route"
"January 16, 2014","Utah","Spanish Fork","37 N. 630 West","5","0","<a href=""http://www.gunviolencearchive.org/incident/97365"" target=""_blank"">More Information</a>",2014-01-16,5,"Utah, Spanish Fork, 37 N. 630 West","Thurs",40.1121102,-111.6651101,"street_address"
"January 16, 2014","Oklahoma","Ardmore","N/A","2","4","<a href=""http://www.gunviolencearchive.org/incident/97407"" target=""_blank"">More Information</a>",2014-01-16,6,"Oklahoma, Ardmore, N/A","Thurs",34.1742611,-97.1436254,"locality"
"January 20, 2014","Virginia","Manassas","8509 Rixlew Ln","0","4","<a href=""http://www.gunviolencearchive.org/incident/104902"" target=""_blank"">More Information</a>",2014-01-20,4,"Virginia, Manassas, 8509 Rixlew Ln","Mon",38.7728871,-77.5020302,"street_address"
"January 21, 2014","New Jersey","Newark","Springfield Avenue","2","3","<a href=""http://www.gunviolencearchive.org/incident/98836"" target=""_blank"">More Information</a>",2014-01-21,5,"New Jersey, Newark, Springfield Avenue","Tues",40.7340152,-74.1914125,"route"
"January 25, 2014","Illinois","Chicago","S. Union Av and W. 51st St","1","4","<a href=""http://www.gunviolencearchive.org/incident/100434"" target=""_blank"">More Information</a>",2014-01-25,5,"Illinois, Chicago, S. Union Av and W. 51st St","Sat",41.8016155,-87.6429023,"intersection"
"January 25, 2014","Florida","Belle Glade","600 block of Covenant Drive","0","4","<a href=""http://www.gunviolencearchive.org/incident/100568"" target=""_blank"">More Information</a>",2014-01-25,4,"Florida, Belle Glade, 600 block of Covenant Drive","Sat",26.6868481,-80.6739228,"street_address"
"January 27, 2014","North Carolina","Rocky Mount","821 Word Plaza","0","4","<a href=""http://www.gunviolencearchive.org/incident/101301"" target=""_blank"">More Information</a>",2014-01-27,4,"North Carolina, Rocky Mount, 821 Word Plaza","Mon",35.9690182,-77.8189529,"street_address"
"January 27, 2014","Washington","Seattle","2nd Avenue South and South Main Street","1","4","<a href=""http://www.gunviolencearchive.org/incident/113665"" target=""_blank"">More Information</a>",2014-01-27,5,"Washington, Seattle, 2nd Avenue South and South Main Street","Mon",47.6000368,-122.331575,"intersection"
"February 3, 2014","Indiana","Franklin","2100 block of Bridlewood Dr","3","2","<a href=""http://www.gunviolencearchive.org/incident/103698"" target=""_blank"">More Information</a>",2014-02-03,5,"Indiana, Franklin, 2100 block of Bridlewood Dr","Mon",39.4997647,-86.0449971,"street_address"
"February 5, 2014","Illinois","Chicago","6740 N Clark St","1","3","<a href=""http://www.gunviolencearchive.org/incident/104218"" target=""_blank"">More Information</a>",2014-02-05,4,"Illinois, Chicago, 6740 N Clark St","Wed",42.0048278,-87.6731401,"street_address"
"February 6, 2014","Louisiana","New Orleans","4600 block of Downman Road","0","4","<a href=""http://www.gunviolencearchive.org/incident/105010"" target=""_blank"">More Information</a>",2014-02-06,4,"Louisiana, New Orleans, 4600 block of Downman Road","Thurs",30.0163355,-90.0218066,"premise"
"February 7, 2014","Florida","Miami","Northwest 41st Street and 9th Avenue","0","5","<a href=""http://www.gunviolencearchive.org/incident/104721"" target=""_blank"">More Information</a>",2014-02-07,5,"Florida, Miami, Northwest 41st Street and 9th Avenue","Fri",26.2813078,-80.1358627,"intersection"
"February 12, 2014","Indiana","Gary","2220 block of Broadway","0","5","<a href=""http://www.gunviolencearchive.org/incident/106394"" target=""_blank"">More Information</a>",2014-02-12,5,"Indiana, Gary, 2220 block of Broadway","Wed",41.5780964,-87.3371429,"street_address"
"February 12, 2014","California","Stockton","Constitution Park","1","3","<a href=""http://www.gunviolencearchive.org/incident/106243"" target=""_blank"">More Information</a>",2014-02-12,4,"California, Stockton, Constitution Park","Wed",37.9595498,-121.2774788,"establishment"
"February 12, 2014","California","Oakland","37th and International","1","3","<a href=""http://www.gunviolencearchive.org/incident/106481"" target=""_blank"">More Information</a>",2014-02-12,4,"California, Oakland, 37th and International","Wed",37.7752416,-122.2208449,"intersection"
"February 15, 2014","Nevada","Las Vegas","Sahara and Maryland","0","5","<a href=""http://www.gunviolencearchive.org/incident/107403"" target=""_blank"">More Information</a>",2014-02-15,5,"Nevada, Las Vegas, Sahara and Maryland","Sat",36.1441689,-115.1369439,"intersection"
"February 16, 2014","Texas","Fort Worth","115 NW 25th St.","1","4","<a href=""http://www.gunviolencearchive.org/incident/108659"" target=""_blank"">More Information</a>",2014-02-16,5,"Texas, Fort Worth, 115 NW 25th St.","Sun",32.7898773,-97.3491096,"street_address"
"February 16, 2014","Florida","Orange County","4500 block of Riviera Shores","1","6","<a href=""http://www.gunviolencearchive.org/incident/107417"" target=""_blank"">More Information</a>",2014-02-16,7,"Florida, Orange County, 4500 block of Riviera Shores","Sun",28.5981122,-81.2742782,"street_address"
"February 16, 2014","Florida","Jacksonville","1187 S. Edgewood Ave.","1","4","<a href=""http://www.gunviolencearchive.org/incident/107433"" target=""_blank"">More Information</a>",2014-02-16,5,"Florida, Jacksonville, 1187 S. Edgewood Ave.","Sun",30.3084929,-81.713387,"street_address"
"February 16, 2014","Texas","Dallas","2600 block of South Harwood Street","1","7","<a href=""http://www.gunviolencearchive.org/incident/107519"" target=""_blank"">More Information</a>",2014-02-16,8,"Texas, Dallas, 2600 block of South Harwood Street","Sun",32.76734,-96.7790179,"street_address"
"February 16, 2014","Indiana","Fort Wayne","Lafayette Street and East Tillman Road","0","5","<a href=""http://www.gunviolencearchive.org/incident/107673"" target=""_blank"">More Information</a>",2014-02-16,5,"Indiana, Fort Wayne, Lafayette Street and East Tillman Road","Sun",41.0172956,-85.1191388,"intersection"
"February 20, 2014","Indiana","Indianapolis","3400 block of South Parker","4","0","<a href=""http://www.gunviolencearchive.org/incident/108691"" target=""_blank"">More Information</a>",2014-02-20,4,"Indiana, Indianapolis, 3400 block of South Parker","Thurs",39.7170278,-86.1139207,"street_address"
"February 20, 2014","California","Alturas","300 W 1st St","4","2","<a href=""http://www.gunviolencearchive.org/incident/108649"" target=""_blank"">More Information</a>",2014-02-20,6,"California, Alturas, 300 W 1st St","Thurs",41.4839395,-120.5452487,"street_address"
"February 22, 2014","California","Wilmington","1200 block of W Papeete St","0","4","<a href=""http://www.gunviolencearchive.org/incident/109142"" target=""_blank"">More Information</a>",2014-02-22,4,"California, Wilmington, 1200 block of W Papeete St","Sat",33.7868812,-118.2778726,"street_address"
"February 25, 2014","Virginia","Glade Spring","Graceland Lane","5","1","<a href=""http://www.gunviolencearchive.org/incident/109957"" target=""_blank"">More Information</a>",2014-02-25,6,"Virginia, Glade Spring, Graceland Lane","Tues",36.7843339,-81.7848237,"route"
"March 1, 2014","Pennsylvania","Pittsburgh","Hamilton Avenue","1","4","<a href=""http://www.gunviolencearchive.org/incident/111095"" target=""_blank"">More Information</a>",2014-03-01,5,"Pennsylvania, Pittsburgh, Hamilton Avenue","Sat",40.4557517,-79.9024885,"route"
"March 1, 2014","Michigan","Detroit","7800 Gratiot Av.","0","4","<a href=""http://www.gunviolencearchive.org/incident/111109"" target=""_blank"">More Information</a>",2014-03-01,4,"Michigan, Detroit, 7800 Gratiot Av.","Sat",42.3779846,-83.0147896,"street_address"
"March 5, 2014","South Carolina","Pelzer","Law Street","3","2","<a href=""http://www.gunviolencearchive.org/incident/112415"" target=""_blank"">More Information</a>",2014-03-05,5,"South Carolina, Pelzer, Law Street","Wed",34.6393756,-82.4528394,"route"
"March 8, 2014","Illinois","Chicago","4900 West Race Ave","0","6","<a href=""http://www.gunviolencearchive.org/incident/113214"" target=""_blank"">More Information</a>",2014-03-08,6,"Illinois, Chicago, 4900 West Race Ave","Sat",41.890715,-87.748309,"street_address"
"March 8, 2014","California","Richmond","1600 block of First Street","1","3","<a href=""http://www.gunviolencearchive.org/incident/113255"" target=""_blank"">More Information</a>",2014-03-08,4,"California, Richmond, 1600 block of First Street","Sat",37.956275,-122.368475,"street_address"
"March 9, 2014","Ohio","Fremont","531 W State St","3","1","<a href=""http://www.gunviolencearchive.org/incident/113156"" target=""_blank"">More Information</a>",2014-03-09,4,"Ohio, Fremont, 531 W State St","Sun",41.348378,-83.116532,"street_address"
"March 9, 2014","Texas","Austin","4900 block of West Race Avenue","0","6","<a href=""http://www.gunviolencearchive.org/incident/113247"" target=""_blank"">More Information</a>",2014-03-09,6,"Texas, Austin, 4900 block of West Race Avenue","Sun",30.3030493,-97.657181,"street_address"
"March 14, 2014","New York","Brooklyn","S. Second and Roebling Sts","0","4","<a href=""http://www.gunviolencearchive.org/incident/115012"" target=""_blank"">More Information</a>",2014-03-14,4,"New York, Brooklyn, S. Second and Roebling Sts","Fri",40.7121669,-73.9590615,"intersection"
"March 16, 2014","Texas","Beaumont","S 4th St","3","1","<a href=""http://www.gunviolencearchive.org/incident/117591"" target=""_blank"">More Information</a>",2014-03-16,4,"Texas, Beaumont, S 4th St","Sun",30.0588443,-94.1155643,"route"
"March 16, 2014","Georgia","Waynesboro","4960 Highway 80 West","0","4","<a href=""http://www.gunviolencearchive.org/incident/125855"" target=""_blank"">More Information</a>",2014-03-16,4,"Georgia, Waynesboro, 4960 Highway 80 West","Sun",33.209855,-81.8474274,"street_address"
"March 21, 2014","South Carolina","North Charleston","7550 Dorchester Road","0","4","<a href=""http://www.gunviolencearchive.org/incident/117642"" target=""_blank"">More Information</a>",2014-03-21,4,"South Carolina, North Charleston, 7550 Dorchester Road","Fri",32.9032573,-80.0789558,"street_address"
"March 23, 2014","Texas","Arlington","2700 Majesty Drive","1","3","<a href=""http://www.gunviolencearchive.org/incident/117818"" target=""_blank"">More Information</a>",2014-03-23,4,"Texas, Arlington, 2700 Majesty Drive","Sun",32.7546259,-97.0607784,"street_address"
"March 23, 2014","California","San Francisco","Turk and Taylor","0","7","<a href=""http://www.gunviolencearchive.org/incident/117914"" target=""_blank"">More Information</a>",2014-03-23,7,"California, San Francisco, Turk and Taylor","Sun",37.7832142,-122.4107842,"intersection"
"March 23, 2014","California","Long Beach","601 Long Beach Boulevard","1","3","<a href=""http://www.gunviolencearchive.org/incident/172722"" target=""_blank"">More Information</a>",2014-03-23,4,"California, Long Beach, 601 Long Beach Boulevard","Sun",33.7744003,-118.1897471,"street_address"
"March 30, 2014","North Carolina","Charlotte","4300 Sunset Road","0","5","<a href=""http://www.gunviolencearchive.org/incident/120303"" target=""_blank"">More Information</a>",2014-03-30,5,"North Carolina, Charlotte, 4300 Sunset Road","Sun",35.3049935,-80.8562731,"street_address"
"March 30, 2014","Mississippi","Starkville","N/A","0","5","<a href=""http://www.gunviolencearchive.org/incident/120621"" target=""_blank"">More Information</a>",2014-03-30,5,"Mississippi, Starkville, N/A","Sun",33.4503998,-88.8183872,"locality"
"April 2, 2014","Texas","Fort Hood","Motor Pool Road and Tank Destroyer Boulevard","4","16","<a href=""http://www.gunviolencearchive.org/incident/121031"" target=""_blank"">More Information</a>",2014-04-02,20,"Texas, Fort Hood, Motor Pool Road and Tank Destroyer Boulevard","Wed",31.1329784,-97.7944469,"intersection"
"April 5, 2014","Illinois","Chicago","4300 W Wilcox Street","1","5","<a href=""http://www.gunviolencearchive.org/incident/122136"" target=""_blank"">More Information</a>",2014-04-05,6,"Illinois, Chicago, 4300 W Wilcox Street","Sat",41.879032,-87.733109,"street_address"
"April 5, 2014","Arizona","Phoenix","West Palm Lane near 54th Avenue","1","3","<a href=""http://www.gunviolencearchive.org/incident/122612"" target=""_blank"">More Information</a>",2014-04-05,4,"Arizona, Phoenix, West Palm Lane near 54th Avenue","Sat",33.4994524,-111.965436,"route"
"April 5, 2014","California","Fairfield","Orchid Street","0","4","<a href=""http://www.gunviolencearchive.org/incident/122672"" target=""_blank"">More Information</a>",2014-04-05,4,"California, Fairfield, Orchid Street","Sat",38.278664,-122.036953,"route"
"April 6, 2014","Massachusetts","Springfield","90 Worthington St.","0","4","<a href=""http://www.gunviolencearchive.org/incident/123666"" target=""_blank"">More Information</a>",2014-04-06,4,"Massachusetts, Springfield, 90 Worthington St.","Sun",42.1031315,-72.5936484,"street_address"
"April 6, 2014","Oklahoma","Oklahoma City","Northwest 29th Street and Portland Avenue","0","4","<a href=""http://www.gunviolencearchive.org/incident/125863"" target=""_blank"">More Information</a>",2014-04-06,4,"Oklahoma, Oklahoma City, Northwest 29th Street and Portland Avenue","Sun",35.4987478,-97.583367,"intersection"
"April 7, 2014","Louisiana","New Orleans","500 block of South Alexander Street","0","4","<a href=""http://www.gunviolencearchive.org/incident/123008"" target=""_blank"">More Information</a>",2014-04-07,4,"Louisiana, New Orleans, 500 block of South Alexander Street","Mon",29.9732273,-90.1071864,"street_address"
